PDF name,Passage number,Reading Passage,Directions,Passage title (if any),Question number,Questions,Cognitive reasoning category,Item type,Item_type (multiple_choice or written_response),Choice_1,Choice_2,Choice_3,Choice_4,Text_in_box_in_passage,Text_in_box_in_question,Text_in_box_in_option,Correct answer,Percent students answering correctly,Percent of students selecting_choice 1,Percent of students selecting_choice 2,Percent of students selecting_choice 3,Percent of students selecting_choice 4,Standard,DOK,Word count (passage),Lexile (passage),Flesch-Kincaid (passage),Does the passage have any images? (Yes/No),"Do the questions have any images or refer to an image, table, or other illustration? (Yes/ No)",Do the options/ choices have any images? (Yes/No),Footnote to passage (write text in footnote),Copyright information,Other instructions,Other information
2023-released-items-ela-g3,1,"""1. ""It's time to see how much you've grown since last year,"" Mom answered.
 
2. How could Trent and I have forgotten? Every year on our birthday Mom has us stand up straight against the bedroom doorjamb and she makes a mark to indicate how much we'd grown since the year before. My marks are in blue pencil crayon. Trent's are in red.
 
3. ""Do I have to right now, Mom?"" Trent pleaded. ""I want to get this aquarium ready for my new discus fish."" . . .
 
4. ""Come on now, it won't take long,"" Mom persisted. She held out a red pencil crayon and directed Trent to the door. ""Head and shoulders straight, back against the doorjamb. Let's go!""
 
5. In a hurry to get this over with, Trent trotted to the doorway and stood up against the jamb. He waited as Mom made sure he wasn't slouching or stretching and carefully marked the spot on the jamb where the top of his head reached.
 
6. ""Done?"" Trent asked.
 
7. Mom ignored him. ""Isn't that interesting,"" she said.
 
8. ""What?"" Dad inquired.
 
9. ""Yeah, what?"" Trent echoed.
 
10. ""Well,"" Mom smiled, ""your mark is higher than Troy's last mark. at's the first time that's ever happened.""
 
11. ""No way,"" Trent squealed with delight.
 
12. ""Take a look for yourself,"" Mom instructed.
 
13. I rushed over to the doorway and actually nudged Trent out of the way to get a better look. I couldn't believe my eyes. The red mark was indeed a little higher than the blue.
 
14. ""I'm taller than Troy!"" Trent celebrated. ""Awesome!""
 
15. ""You must have made a mistake,"" I protested to Mom. I could feel my stomach churning.
 
16. ""No, honey. I'm really careful with this."" Mom looked me in the eyes, patted my shoulder. ""Anyhow, there's very little difference."" . . .
 
17. ""Why don't the two of you stand back to back?"" Dad suggested. ""Then you'll see exactly who's taller."" Now Dad was really thinking.
 
18. ""Sure,"" I volunteered. I wanted to lay this matter to rest as soon as possible.
 
19. ""Sounds good to me,"" Trent echoed.
 
20. Trent and I turned and stepped backwards towards each other. We jostled a few seconds, adjusting ourselves to the tallest possible posture. His bony shoulder blades dug into my back. His long hair tickled my neck.
 
21. ""Well, what do you say?"" I asked.
 
22. ""Hold on,"" Dad answered. He had moved in close and was making sure neither of us were standing on our tiptoes or stretching our necks. His hands rested on each of our heads, keeping us in place. Meanwhile, Mom tilted her head to inspect us closely.
 
23. ""Well?"" I asked again.
 
24. Mom emitted a nervous little cough. ""I could be wrong, but . . .""
 
25. ""But what?"" I prodded.
 
-prodded = gently tried to get someone to do something-
 
26. ""I think Trent is just a smidgen taller."" She coughed again. ""Of course, that could be because he has more hair.""
 
27. Trent hurriedly lifted his hand to his head and patted down his hair. ""How about now?"" he asked.
 
28 ""Um . . ."" Mom stalled.
 
29. ""Dad?"" I pleaded. Standing tall, I kept my head forward and my back straight. I trusted his judgment.
 
30. ""Well, Troy, you may not like to hear this, but as far as I can tell Trent is in fact taller. Not by much, that's for sure, but there is a difference. Ninetenths of a centimeter, I'd say.""
 
31. ""Nine-tenths of a centimeter?"" I repeated.
 
32. ""Yes!"" Trent celebrated.
 
33. ""I can't believe this,"" I whined. ""There's just no way."" My mind raced. Something had to be wrong about this. Even Dad could make mistakes sometimes. ""Bring me a mirror,"" I demanded.
 
34. ""A mirror?"" Mom gasped.
 
35. ""Don't be ridiculous,"" Dad scoffed.
 
-scoffed = said in a way that did not show respect and seemed bothered-
 
36. ""Just bring me a mirror, please,"" I begged. ""Please!""
 
37. Mom shuffled off to her and Dad's room and came back with her make-up mirror, round-faced with a long handle, almost like the kind you see in old fairytale picture books. I grabbed it roughly and held it out to the side. Immediately Trent and I both turned our heads to see the evidence. It was tough to make out the difference between us, but there it was, reflected back at me, as undeniable as the pain that was settling right now into the pit of my stomach.
 
38. Trent was taller than I was.""",,,1,1. Which theme is best supported by paragraphs 10 through 13 in the story?,Inference ,Passage org,multiple_choice,A Change can sometimes take people by surprise.,B Brothers often enjoy doing the same things.,C Family activities can be fun for everyone.,D Every family has its own way of doing things.,centimeter = unit of measure equal to less than 1/2 inch ; undeniable = certain;,,,A,0.7154,,,,,NGLS.ELA.Content.NY-3.R.2,,,,,,,,,,,
2023-released-items-ela-g3,1,,,,2,2. What do the details in paragraphs 3 and 14 show about Trent?,Inference ,Inference about views,multiple_choice,A Trent is not worried about his brother's feelings until Troy is upset.,B Trent would rather be measured later when he has had more time to grow.,C Trent would rather spend time on his birthday having fun by himself.,D Trent is not interested in his height until he learns that he is taller than Troy,,,,D,0.6252,,,,,NGLS.ELA.Content.NY-3.R.3,,,,,,,,,,,
2023-released-items-ela-g3,1,,,,3,"3. In paragraph 18, what does it mean when the narrator says, ""I wanted to lay this matter to rest . . .""?",Identification or summarization ,Clarify meaning,multiple_choice,A He wants to know the truth.,B He is tired after many activities.,C He needs time to get ready for bed.,D He is worried that his father is busy,,,Yes,A,0.6975,,,,,NGLS.ELA.Content.NY-3.R.4,,,,,,,,,,,
2023-released-items-ela-g3,1,,,,4,4. Which detail from the story shows the best evidence for the claim that Trent is taller than Troy?,Inference ,Discover principle or analogy,multiple_choice,"A "". . . Trent trotted to the doorway and stood up against the jamb."" (paragraph 5)","B ""The red mark was indeed a little higher than the blue."" (paragraph 13)","C ""Trent and I turned and stepped backwards towards each other."" (paragraph 20)","D "". . . hands rested on each of our heads, keeping us in place."" (paragraph 22)",,,,B,0.66,,,,,NGLS.ELA.Content.NY-3.R.8,,,,,,,,,,,
2023-released-items-ela-g3,1,,,,5,5. How is the information in paragraph 37 important to the story?,Inference ,Passage org,multiple_choice,A It compares the feelings of two main characters.,B It explains the cause and the effect of a problem.,C It tells why the setting is important to the events.,D It explains how the conflict in the story is settled.,,,,D,0.3271,,,,,NGLS.ELA.Content.NY-3.R.5,,,,,,,,,,,
2023-released-items-ela-g3,1,,,,6,6. Which detail would be best to include in a summary of the story?,Inference ,Passage org,multiple_choice,A Trent is excited about his new fish.,B Trent's mark on the door is higher than Troy's.,C Troy is tired of being measured on his birthday.,D Troy's hair is different than Trent's.,,,,B,0.6785,,,,,NGLS.ELA.Content.NY-3.R.2,,,,,,,,,,,
2019-released-items-ela-g4,1,"""1. ""No one but a man can do this,"" the business manager of the World, a New York newspaper, said to the young woman. The year was 1888. A popular book at the time told about a character who traveled around the world in 80 days. Now Nellie Bly, a young reporter for the newspaper, wanted to do it in real life.

2. ""Very well,' said Nellie. ""Start the man, and I'll start the same day for some other newspaper and beat him.""

3. In those days it was very unusual for a woman to travel alone. But Nellie Bly was an unusual woman. Her real name was Elizabeth Jane Cochran. When she was 20, she wrote a fiery letter to the editor of the Pittsburgh Dispatch. The editor was so impressed with her letter that he offered her a job as a writer.

4. It wasn't considered ""proper"" to use a woman's name in a newspaper. So the editor signed Elizabeth's work Nellie Bly, a name from a popular song.

5. Back then, women were only supposed to write about things considered to be ""women's topics,"" such as fashion and society. But Nellie had other ideas. She reported on issues that were important, even controversial. Newspaper readers were fascinated—but they didn't believe that Nellie Bly was really a woman. They thought men were writing the articles!

6. After Nellie threatened to make the trip for another newspaper, her editor gave in and allowed her to do it for the World. One year after asking to do the trip, Nellie set out. Traveling east across the Atlantic, Nellie took just one bag in order to move quickly. As she traveled, she wrote. She telegraphed her articles about people and places to the newspaper. Schoolchildren followed her route across Europe and Asia. Geography became a national fad as readers tracked her around the world.

7. On day 68 of her trip, Nellie reached San Francisco. Quickly, she dashed across the country on a train hired by her newspaper. She reached New York in 41/2 days.

8. She met her challenge! Along the way, every train stop was a ""maze of happy greetings, happy wishes, congratulating telegrams, fruit, flowers, loud cheers, wild hurrahs, rapid hand-shaking,' she wrote. While traveling through France, Nellie was thrilled to meet Jules Verne, author of the book that inspired her trip, Around the World in 80 Days.

9. Nellie Bly beat the 80-day goal. She also invented a new style of journalism. She reported to her readers what she saw, thought, and felt during her adventure. She also proved that a woman is as competent and resourceful as a man. Her journey around the world was a journey toward equal opportunity for both women and men.""",*Read this article. Then answer questions 13 through 18.*,"*Around the World*
_by Paula Morrow_",13,"1. What does the phrase ""set out"" mean as it is used in paragraph 6 of the article?",Identification or summarization ,Clarify meaning,multiple_choice,A grabbed her suitcase,B began her journey,C accepted work,D started writing,controversial = a topic that causes an argument; telegraphed = a way to send messages to a faraway place; competent = capable; resourceful = skilled at solving problems,,,B,0.85,,,,,CCSS.ELA-Literacy.RI.4.4,,451,810L,6.7,Yes,No,No,,,,
2019-released-items-ela-g4,1,,,,14,"2. Read this sentence from paragraph 6.
 *Traveling east across the Atlantic, Nellie took just one bag in order to move
 quickly.* 
 How is this detail important to paragraph 1?",Inference ,Passage org,multiple_choice,A It shows how she is the same as the character in the book.,B It shows one way to help her reach her goal.,C It shows a young reporter exploring the world in real life.,D It shows that a young woman taking a trip alone is unusual.,,,Yes,B,0.51,,,,,CCSS.ELA-Literacy.RI.4.3,,,,,Yes,No,No,,,,
2019-released-items-ela-g4,1,,,,15,3. How does the author organize the information in paragraphs 6 and 7?,Inference ,Passage org,multiple_choice,A by listing events in the order they happened,B by comparing and contrasting the places Nellie visited,C by showing what caused Nellie to want to take the trip,D by stating how the problem of traveling so far was solved,,,,A,0.61,,,,,CCSS.ELA-Literacy.RI.4.5,,,,,Yes,No,No,,,,
2019-released-items-ela-g4,1,,,,16,"4. What does the word ""journalism"" mean as it is used in paragraph 9?",Identification or summarization ,Clarify meaning,multiple_choice,A writing for newspapers,B traveling for women,C finding adventures,D discovering opinions,,,,A,0.62,,,,,CCSS.ELA-Literacy.RI.4.4,,,,,Yes,No,No,,,,
